"ID","Type","Name","Documentation","Specialization"
"id-f6a9987bd9234adcafcc836049921003","ArchimateModel","systems_sw_engineering_iso15288","",""
"id-2725f688a62848f38c5ca6168b77d259","BusinessObject","Accepted system or system element","System or system element (product or service) accepted by an acquirer from a supplier consistent with the delivery conditions of the supply agreement.",""
"id-3ba17d83753d4914a0cf9098ff135952","BusinessObject","Acquired system or system element","System or system element (product or service) delivered to the acquirer from a supplier consistent with the delivery conditions of the acquisition agreement.
",""
"id-ba963431190b46c2bb39677b60feff50","BusinessObject","Acquisition agreement","Mutual acknowledgment of terms and conditions under which a working relationship is conducted between an acquirer and a supplier. (Adapted from ISO/IEC/IEEE 15288, 2023).

",""
"id-94cc1405cb2d438fbb64e34ac852b2c5","BusinessObject","Acquisition need","Identified need that cannot be met within the organization encountering the need or a need that can be met in a more economical way by a supplier.

",""
"id-2e9c1ba82e7a453f800e9af9901d29f3","BusinessObject","Acquisition payment","Payments or other compensations for an acquired system.
",""
"id-863a4f919c30451d877d6fb998129886","BusinessObject","Acquisition records/artifacts","Permanent, readable form of data, information, or knowledge related to acquisition.
",""
"id-cb0ab066171a486f8595dddf542f07fc","BusinessObject","Acquisition report","An account prepared for interested parties in order to communicate the status, results, and outcomes of the acquisition activities.
",""
"id-dd304d03cd6a44b9b12b9650ce3fc6d6","BusinessObject","Acquisition strategy/approach","Approaches, schedules, resources, and specific considerations required to perform acquisition.
",""
"id-32f671919ed746d3858409d5fce3a937","BusinessObject","Agreements","Agreements from all applicable life cycle processes, including: acquisition agreement and supply agreement.
",""
"id-2320a9c8af7c41978f7f5f65793c1cc5","BusinessObject","Alternative solution classes","Identifies and describes the classes of solutions that may address the problem or opportunity.


",""
"id-2f93aafd10bb499f8a5b94935c81c89b","BusinessObject","Analysis Situation","Analyses that arise from any stakeholder. Can originate from any life cycle process.
",""
"id-3298738c9fc546de86d2c0258b3bbb94","BusinessObject","Applicable laws and regulations","International, national, or local laws or regulations.
",""
"id-1d2ec952b5a04f38a111636008bba23c","BusinessObject","Breakdown structures","Hierarchical representations of project aspects into smaller components providing the necessary frameworks to accomplish the project objectives and create the required deliverables.
",""
"id-702e0cce6a3d4fd2a224f25818171f11","BusinessObject","Business or mission analysis  report","An account prepared for interested parties in order to communicate the status, results, and outcomes of the business or mission analysis activities.
",""
"id-84aaf64d06b44bb6b9c9490d1e75cb05","BusinessObject","Business or mission analysis records/artifacts","Permanent, readable form of data, information, or knowledge related to business or mission analysis.
",""
"id-93099e1f67cc4d1e9ffda8c0c99834a6","BusinessObject","Business or mission analysis strategy/approach","Approaches, schedules, resources, and specific considerations required to perform business or mission analysis.
",""
"id-b0a5b110350b4eb3a13cd0c162b89119","BusinessObject","Business plan","The overall organization business plan, including the business objectives.",""
"id-3ae0672d20244494be12729c17f5acd6","BusinessObject","Candidate Items for configuration management","Items for configuration control. Can originate from any life cycle process.",""
"id-78a4392bca544ea2a8954eef4e34a1d7","BusinessObject","Candidate items for information management","Items for information control. Can originate from any life cycle process.
",""
"id-86598239d80d4fa8afae7a341ceee720","BusinessObject","Candidate risks and opportunities","Risks and opportunities that arise from any stakeholder. Can originate from any life cycle process.",""
"id-a37b3ee6f3cd4d4fadf7799c6809f3f8","BusinessObject","Change request","Identified anomaly, required, or recommended enhancement to a project, from the time an idea is recorded until the disposition by a designated change authority. (Adapted from ISO/IEC/IEEE 24765, 2017).
",""
