"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-38189dfcce3e4a89ae1e302e799fb306","AccessRelationship","","","id-32ab6a7d246e4c2db95199dfb6ada8b1","id-13b2503160714349bb822b9a4f8eadc6",""
"id-85c46b2500824e25b73335209cec366f","AccessRelationship","","","id-32ab6a7d246e4c2db95199dfb6ada8b1","id-1f715c50add34dd48f6e85b5abc5864f",""
"id-790672fe8aed4b4eb151ff35cfba4bdb","AccessRelationship","","","id-32ab6a7d246e4c2db95199dfb6ada8b1","id-89e88de295a74ce993eeca86f6e229b0",""
"id-ddc1544ded01418886b288ac6ebf0a6c","AccessRelationship","","","id-62df66fd5c054577b97050c66dfeadaa","id-3c75282c4f774ab8bab3b04d473e7974",""
"id-efb0f30b2ad84c34b1b08e65ec96c3ef","AccessRelationship","","","id-62df66fd5c054577b97050c66dfeadaa","id-887577bdffb34d73aa761d71ac6fbddb",""
"id-3722db1dc3df445ba53f8daf3213b466","AggregationRelationship","","","id-d3b6bde373d94c508b5557a6167592d3","id-7312fee6da5f4ab9b19655f7c887aa92",""
"id-8384707cd2294519a0af216c9533edb1","AggregationRelationship","","","id-8a0797c0a36c41cd86aac1daa98fa515","id-41227716c5214cc29a6faad59154e2ac",""
"id-edacc571541b4495a5f37231a11db48a","AggregationRelationship","","","id-8a0797c0a36c41cd86aac1daa98fa515","id-7688d8ba5911479c8d4ffe8ed64ada4f",""
"id-ab5ede7947404a1aa74f7bdfce311e66","AggregationRelationship","","","id-8a0797c0a36c41cd86aac1daa98fa515","id-853d7342dea14a7e8ea81f5c1c32b8b0",""
"id-7777d8b9196e4ee19d5a5fd32d54f51f","AggregationRelationship","","","id-8a0797c0a36c41cd86aac1daa98fa515","id-9e3f81600aeb4c658929144c1544764c",""
"id-ef2add1805bb456da992256891b4a875","AggregationRelationship","","","id-8a0797c0a36c41cd86aac1daa98fa515","id-8f4c234eeccd466cbff6c596b27d6f09",""
"id-7a695540bf57419bbd62618dcb96e663","AggregationRelationship","","","id-8a0797c0a36c41cd86aac1daa98fa515","id-2d509d9118f34be8b92347524221b7e9",""
"id-e81ac0e323414e539356664004748997","AggregationRelationship","","","id-8a0797c0a36c41cd86aac1daa98fa515","id-44a6ddd394034b8aacebf095822675f7",""
"id-ff35872cdb2f47d9aae5a895c1a00012","AggregationRelationship","","","id-8a0797c0a36c41cd86aac1daa98fa515","id-3418318de4634ed3b82ed08d1e3cdfec",""
"id-12f8edbb4009473fab5e6b651b2d47d5","AggregationRelationship","","","id-ec6f7538d85e486fbac3523d90da2477","id-e2b5514849f24664a80d9a5f94d6f23c",""
"id-a149291c055f4e5fbdfc956c291e883d","AggregationRelationship","","","id-ec6f7538d85e486fbac3523d90da2477","id-5847f36a59aa403d99201ab669553d4a",""
"id-4d2d6a2d0b6d466bb1d28003e947a819","AggregationRelationship","","","id-ec6f7538d85e486fbac3523d90da2477","id-fe00585692e8429b92baf2f3bd708941",""
"id-70739428c2cd41e2adc010ceb7c6c9e1","AggregationRelationship","","","id-d3b6bde373d94c508b5557a6167592d3","id-76f2c56aeba347f5b97789b558ac9b06",""
"id-9203b3bdb900438e872612bfa9c2cdbb","AggregationRelationship","","","id-79416880f3b14dc38b8492fbc3633f6f","id-62df66fd5c054577b97050c66dfeadaa",""
"id-ea07c71d3848436a9b2b6c8806d3dde4","AggregationRelationship","","","id-79416880f3b14dc38b8492fbc3633f6f","id-3ae10bd6637245acb01256bd7112875f",""
